,text
118,"La verdad es que no. Si tengo que jugar algún videojuego, pues no me importa probarlo, pero ahora mismo no me gusta... tanto jugar videojuegos. Pues es una plataforma digital que está creada para entretener a la gente. Es como jugar en la vida real, pero a partir de una pantalla. No sé que más, o sea, yo lo definiría así. Pues porque llevo, llevaba tanto tiempo jugando videojuegos que ahora mismo ya es algo que no me resulta, no sé, no me gusta tanto. No es algo que yo disfrute ahora mismo jugar videojuegos. Pues que es algo que no debemos jugar, ya que es algo, o sea, podemos jugarlo, pero no tan seguido porque puede ser algo a lo que la gente se vuelva adicta, por así decirlo y... pues eso que la gente se vuelva adicta y no puedan parar de jugar videojuegos, se enganchen a ello y no presten tanta atención a lo que hay alrededor suya. Pues a sus tareas, a sus amigos, su familia. Pues porque no creo que haya que enfadarse por lo que pasa enfrente de una pantalla, o sea, si por ejemplo tú te has esforzado mucho en la vida real para conseguir una meta, pues a lo mejor te puedes enfadar un poco, pero yo creo que si te enfadas por no haber conseguido algo en un videojuego no es tan importante porque es algo que al fin y al cabo no va a ganar nada con ello.  Pues, supongo que será porque como tengo tantos buenos recuerdos de cuando era más pequeña de jugar videojuegos, pues no creo que sea algo que me haga, me ponga triste ni que me ponga feliz, ya que es algo que hice tantas veces que ya pues se me ha aborrecido, igual que cualquier otra actividad. Pues la verdad es que no. Pues en el confinamiento hice con una amiga un grupo y empezamos a jugar a Roblox. Jugamos durante el confinamiento, pero vamos, que ya no... apenas jugamos. Dejamos de jugar por quinto o sexto de primaria. Pues la primera vez que perdí una partida ni me enteré de que la había perdido, pero luego ya cuando me enteré de que estaba... había perdido una partida, pues bueno, me dio un poco igual porque era la primera vez que jugaba, lógicamente. Entonces, pues, dije ""bueno, da igual, ya intentaré ganar"" y pues hasta que gané. Pero vamos, no me tomo mal haber perdido. Ahora mismo... no, o sea, ni me entretiene. Ahora mismo no, pero antes sí me entretenía porque jugaba con amigos, entonces era más entretenido que jugar sola. Pues ahora mismo me da igual, la verdad, porque claro... lo mismo que he dicho antes, es que ya además de que no juego videojuegos, cuando lo jugaba hace... un año o hace meses, pues, no sé, era como ""bueno, pues ya está, si eso juego otra partida"" o si ya me había aburrido, pues dejaba de jugar, pero no... nunca me he tomado mal eso. Pues yo creo que opinan que es algo entretenido, que se puede jugar, pero tampoco creo que mis amigos piensen que es algo que deberían de hacer la gente todos los días. Pues porque al fin y al cabo, como he dicho antes, puede generar una adicción a los videojuegos como cualquier otra cosa. Por ejemplo, si yo ahora todos los días me acostumbro a pintar, el día que no pinte yo me voy a sentir mal, pues lo mismo con los videojuegos. El día que yo no juegue, si llevo jugando mucho tiempo, yo me voy a sentir mal y voy a hacer todo lo posible para poder jugar. Pues, la verdad es que no... o sea, me da un poco igual ahora mismo si gano o no, porque ahora mismo si juego un videojuego es para pasármelo bien, aunque no... no lo suelo jugar mucho, pero vamos, que mi objetivo no es ganar. Pues, a ver, la verdad es que fue entretenido, pero no lo entendía muy bien, así que me costó pillarlo, pero cuando ya entendí como se jugaba, pues la verdad es que me gustó, pero ahora mismo no me entretengo mucho jugando a videojuegos. Hombre, pues me sentí bien, porque, o sea, a mí me costaba mucho al principio como entender los conceptos de los juegos y demás, pero en cuanto entendí el concepto, empecé a jugar partidas y la verdad es que la primera vez que gané, pues me sentí muy bien porque me di cuenta de que después de haber estado tanto tiempo delante del ordenador, pues he podido conseguir algo en el juego, aunque no fuese en la vida real, pero me dio alegría. Pues la verdad es que hace un montón que no abro ningún videojuego, pero la última vez que lo abrí, no... o sea, me daba un poco igual, además me aburría ya hasta un poco tanto jugar al mismo juego. Pues no sé, ya era siempre lo mismo en el mismo juego, entonces claro, llega un momento en el que ya te cansas de jugar a lo mismo o al menos a mí me... me resultó así. Pues... no sé, supongo que porque ya he jugado tanto a videojuegos que no me da miedo lo que pueda pasar en el juego.  Pues la verdad es que no, o sea, me siento normal jugar un videojuego, no me siento ni feliz ni triste."
119,"No sé, algunos están bastante guay y otros pues... no sé. No sé, como que me sentí bien, no sé. Ni idea, fue hace mucho. No sé, que mucha gente jugaba y eso. Pues que algunos están bien y otros no tanto. No sé, creo que más de lo mismo que yo que es una manera de pasar el tiempo y de divertirse. Pues no sé explicarme, yo explico muy mal, es que no sé, un juego como de play o de consola, es que no sé, es que hay muchos, diferentes juegos, ¿sabes? es que no sé. Un juego de internet, no sé. Depende de que sea el videojuego, si es en plan de miedo, sí. No sé, yo es que yo soy muy miedica, si sale alguna cosa así, pues me asusto y no juego. No, a ver si pierdo a veces sí, pero no, normalmente no. Por lo que he dicho antes que es una manera como divertirse. No. Sí, no sé, depende a cuál. Pues que paso un tiempo divertido que por ejemplo podría ser aburrida pero no. Pues igual. Pues como más triste, ¿no? porque intenté ganar. Pues alegría."
120,"Pues ahora depende de la partida. Si es algo competitivo, pues felicidad, pero si es así informal o algo así, pues tranquilo. Pues me entretuve mucho y la verdad fue una sensación buena. Pues lo que me hizo empezar a jugar a videojuegos fueron unos antiguos amigos míos que empezaron a jugar Minecraft y ahí fue ya cuando me empecé a querer jugar y demás. Pues de que en verdad no es nada malo. De que es una forma de entretenimiento, para pasar el rato. Pues también depende de la situación porque si es algo así que, por ejemplo un competitivo que pierdo una partida o algo, pues a veces la verdad es que me sobresalto un poco. Pues opinan de que es una tontería y de que al final y al cabo me voy a seguir enganchando a los videojuegos. Pues porque estoy con mis amigos, me lo paso bien, he hecho un buen rato. Pues si es competitivo, pues de vez en cuando tengo algún que otro enfadillo, pero si es informal, pues nada, da igual. No. Pues sobre todo estar con mis amigos. De vez en cuando. Pues felicidad. Pues lo primero que sentí fue, bueno no pasa nada, hago otra. Pues depende en qué momento también. Cuando pierdo alguna partida en competitivo. Porque es algo que me entretiene. No. Pues una manera de, por así decirlo, una manera de entretenimiento que lo que hace es, desde mi punto de vista, desarrolla algunas ciertas habilidades."
121,"Pues, mis amigos me enseñaron cuando... unos videojuegos y yo los probé y al final me empezaron a gustar. No sé. Que es una forma de entretenimiento.  No. Un videojuego es una forma de entretenimiento que utilizas virtualmente. No sentí nada porque ya había perdido muchas más antes. Pues no tener que... que estar siempre jugando... físicamente y poder jugar cuando queramos. Sí. Igual. Pues que... o la gente que... que hace trampas a los juegos. Porque me siento feliz a jugarlo, me da emoción. Porque sé que no va a pasar nada. Algunas veces si pierdo algo muy importante. No. La primera vez me emocioné mucho porque nunca había ganado y era muy malo.  Ahora siento diversión porque están mis amigos jugando y todo el mundo tiene el mismo juego y puede jugar a la vez. Sentí emoción porque todo el mundo lo tenía, menos yo y cuando terminé, cuando estaba jugando, empecé a tener alegría porque me gustaba mucho. Ahora no siento nada porque como gano tantas."
122,"Eso, jugar con mis amigos... conocer a nuevas personas, gracias a... estar jugando por internet... y conocer experiencias nuevas de nuevos videojuegos. Muchísima emoción y felicidad como si hubiese ganado no sé... el Mundial de Fútbol porque... es la primera vez que ganas una partida y dices ""¡Dios! ¡Dios! Es que... esto es todo difícil no sé que"" y a lo mejor es fácil pero... para tú que estás empezando y no sabes bien, es como no sé, es lo mejor del mundo, aunque después se te termina olvidando. Que es algo divertido porque siempre juego... es que, es eso. Pues con mis amigos son con los que juego. Casi muchos de mis amigos también los he conocido gracias a los videojuegos, que a lo mejor no los puedo ver cara a cara. Pues... si es un videojuego que ya lo tengo muy visto pues ya solo es la diversión de jugar a él, porque si no, no lo seguiría jugando. Y si es un videojuego nuevo pues lo mismo que antes de ""¿Qué se podrá hacer aquí? ¿Qué no se podrá hacer?"" pero ahora con más experiencia, ahora más o menos me puedo imaginar lo que se podrá llegar a hacer. Emoción y como... a ver... la emoción de estar haciendo algo que a lo mejor, por ejemplo, hay muchos videojuegos que son bastante fantásticos y no los podría hacer en la vida real, pues la emoción de eso y de ""¡Dios! ¿Qué es esto? ¿Qué se podrá hacer? ¿Qué no se podrá hacer?"" Porque mi padre de... él jugaba y tenía la play 3 y yo le vi jugar y me gustó y entonces empecé a jugar yo y desde entonces juego a videojuegos. Ahora es más normal porque ya es más fácil ganar porque tienes mucha experiencia pero... es como lo que te he dicho, si es un videojuego nuevo me sigo emocionando porque nunca lo he jugado, pero si es uno al que tenga más tiempo... no... en plan... normal. El único enfado que tengo con jugar videojuegos es que hay, en muchos videojuegos hay muchos hackers, que es lo único que me enfada que... con lo que disfrutas jugando a un videojuego normal... no entiendo por qué usas trampas.  Sí, porque es un... lo que hemos dicho, una forma de entretenimiento que... a mí me divierte bastante y sobre todo porque puedo jugar con mis amigos en cualquier momento. Lo vi como algo normal porque yo veía que todo el mundo perdía y digo pues ""yo tendré que perder"", por ejemplo en un Battle Royale si son 100 ""¿por qué voy a ganar yo?"", no tiene nada que ver, entonces pues me daba más o menos igual, no...  Pues lo mismo, lo que ahora sí me da un poquillo más de... como ahora soy más bueno pues ya perder me molesta más, porque digo ""¡Ish! La podría haber ganado, si hubiese hecho más..."" Eso es igual que los exámenes siempre... sacas un 7 pues ""¡Aish! Podría haber llegado al 8 o al 9 pero..."" Siempre depende de lo que hagas. Yo como ya he dicho, mi padre siempre ha jugado videojuegos, entonces es algo normal y mi madre ya se acostumbra porque su hermano ha jugado videojuegos, mi padre, entonces pues... No, hay momentos que a lo mejor si es videojuego en el que tienes a lo mejor algún tipo de mascota y la pierdes, eso es siempre... depende del momento, pero no da en sí pena un videojuego. No. Siempre hay veces que a lo mejor... algún enfado pero no es algo que yo diga ""¡Dios, no sé qué!"" No me pongo a gritar. Digo ""¡Aish!"" Me da coraje pero no... No. Bueno, hay algunos juegos de miedo que siempre dan ahí algo de sustillo, pero por lo normal no... no me dan... Le diría que es una forma de entretenimiento que puedes usar para jugar, en muchos casos, es como un juego... de mesa de toda la vida, pero es con internet y en muchos casos puedes jugar con tus amigos y si no tienes, por ejemplo, un amigo cerca y no puedes jugar, por ejemplo, un juego de mesa o un juego en el que tengáis que estar cara a cara, es una buena forma de entretenerte con él, porque, por ejemplo, yo vivo en Chiclana y tú vives en Madrid y podemos jugar juntos. Y es una forma de entretenimiento como cualquier otra. No sé... porque sería una tontería ponerme triste porque si por ejemplo fuese por perder una partida, puedo jugar partidas infinitas, no se me van a acabar. Las partidas son infinitas. Porque... ya es algo muy normal jugar a videojuegos, es algo que está en sí, casi todo el mundo juega ya videojuegos, ya sea cualquier juego en el móvil, de la play, PC, lo que sea, siempre todo el mundo juega."
123,"No. Una cosa que te distrae. Me da igual. Porque me aburro y... y no me distraería. A mí me da igual. No o no sé. Me da igual. Porque no lo veo mal. Porque tampoco lo veo una cosa que... que sea muy aburrida. Me puse triste. Me gustó. Me distrajo y me gustó. No sé... El móvil, ¿no? Me aburro. También les da igual. Porque... no sé, me da igual perder o ganar. No. No. Que también les da igual."
124,"Pues la primera vez que sentí... en plan no sentí nada, fue ""pues vamos a jugar otra"", fue algo así. Con... cuando juego con mis amigos sí, yo solo no juego, entonces pues... Pues emoción porque estaba con un amigo y pues fue bastante divertido. Pues mira, un videojuego es... pues como un juego, no? por decirlo así, pero en una pantalla y que lo tienes que controlar pues con un mando a distancia o con... que no es un juego que tiene que hacer actividad física. Es un juego más... pues mental, por decirlo así. Porque para mí es algo que es entretenido, que... no es algo que te tengas por qué enfadar. Es un juego. Lo mismo, cuando jugué a otra y... ya cuando pues me canse pues ya dejo de jugar. No. Porque es algo que es divertido. Porque... si no, en plan... porque yo no hago mucho y tampoco es algo malo, si lo hace habitualmente con... con amigos y ya está, o sea en plan, si no es algo que... que te lleva mucho tiempo, no es malo ni te tiene que, ni te tiene que dar miedo.  No. No. Pues que es algo que... que está bien, que no... que no es algo malo. Que puede ser uno de sus pasatiempos favoritos. Pues que mis amigos también tenían la play pues... para jugar con ellos. Pues... que es... algo que si no se controla puede ser dañino. Pues... que... no sé, que estaba chulo, que era algo raro porque era algo nuevo, que era... una cosa que... extraña. Es algo más normal, es como... que ya no tienes esa misma emoción que antes.  Algo normal, un pasatiempo pues que me entretiene con los amigos. Porque tengo un rato para... para divertirme, para estar acompañado con mis amigos y hablar un rato y charlar."
125,"Depende mucho del videojuego: videojuegos de partidas contra otros, pues el ganar; si juego con mi hermano, si es un shooter de matar a otros jugadores, pues matar más que mi hermano y de normal pues me hace feliz... hay videojuegos que me hacen feliz por la historia que tienen, que me ponen triste y me dan como ternura o me dan lo que sea, según el videojuego. Sí. No juego... lo que te digo, últimamente no juego mucho, pero sí me, sí me hace feliz, me gusta videojuegos que me han hecho muy feliz jugándolo, que me han hecho sentir muy bien y que he aprendido hasta cosas de ellos, entonces pues sí que... sí que me, sí, sí me hace feliz.  Pues eso, ya sea la historia del videojuego o ya sea que luego haya jugado e incluso que haya perdido todas las partidas y que no haya hecho nada o lo que sea, pero no... eso. No sé qué más. Depende mucho del videojuego. Hay muchas veces que me he levantado de jugar y sí que me he sentido... no porque haya perdido ni porque nada, sino porque decía ""joder, he perdido, he estado aquí dos horas sentado sin hacer nada, me duele medio la cabeza y... ya estoy como todo cansado"" y sí que me he sentido un poco mal por mí mismo. Pero hay videojuegos que me he sentido mal porque el videojuego es muy triste y no sé qué. Pero en general no me pone triste, me pone más feliz que triste, depende sobre todo del videojuego. Hombre, me he enfadado más de una vez. Me he... me cabrea a veces. Me pongo... a veces soy un poco nervioso y sí que me pone un poco nervioso el estar jugando y que alguien me pique o que alguien me hable o que alguien me moleste mucho, entonces pues... Sí me, sí me enfado a veces.  Como era de pequeño, me cabreé bastante y... además había un videojuego que me cabreaba mucho jugando, porque era muy malo y me daba mucha rabia y me cabreaba mucho. Así que mucho cabreo, demasiado. Normal, no... no me molesta. Me cabreo, a ver me cabreo un poco si... si lo he perdido de una forma que... yo que sé, que me ha parecido como injusta. Pero vamos, que normalmente pues la he perdido y ya está, no me... no me afecta. Pues... felicidad porque lo hacía con mi... con mi tío, con mi familia y me lo pasaba bastante bien jugando con mis primos, entonces, pues, básicamente felicidad, diversión. Sí que me picaba un poco y me daba un poco de rabia algunas cosas y me enfadaba a veces pero las primeras veces, sobre todo... sobre todo felicidad. Hace bastante que no juego pero la última vez que jugué, jugué un videojuego que me daba mucha tranquilidad, mucha calma, así que básicamente, últimamente juego... eso, me suelen dar más tranquilidad, más calma para relajarme, los juegos sencillos, más como artísticos, no sé.  Básicamente lo mismo, depende de la dificultad del videojuego, pero básicamente lo mismo. Me pone... me pone feliz. Pues... no he ganado muchas partidas, pero... bastante felicidad, como que lo había conseguido, como si... no sé, no me quiero poner poético tampoco de que haya conseguido el mundo, no sé qué, pero bastante alegre, sí. Pues mis amigos opinan que debería jugar más para jugar con ellos, pero como no tengo tampoco mucho tiempo entre los estudios y no sé qué pues no, no juego. Pues mis padres me controlaban mucho los videojuegos, no me dejaban jugar mucho tiempo, pero como también sacaba buenas notas pues me permitían bastante. Generalmente cuando era pequeño opinaban que... que no debería jugar tanto, como es normal, como opina cualquier padre. Pero ahora mismo como tampoco juego mucho yo creo que mis padres se han olvidado ni de que juego videojuegos porque llevan mucho sin verme a jugar al menos. Básicamente mi familia porque yo no... yo empecé a jugar de pequeño porque mi tío me regaló una consola y... y a partir de ahí pues me viciaba a la consola, que era la DSi, jugaba con mi tío a la Wii y pues me empezaron a gustar mucho, cada vez géneros diferentes y por eso básicamente. ¿De miedo? En general... Me da miedo el... muchas veces, de pequeño me daba miedo el cabrearme mucho jugando a videojuegos porque perdía, pero ahora mismo me da miedo de jugar videojuegos el... no sé, básicamente el perder mucho el tiempo, el viciarme mucho, incluso el aburrirme jugándolo o que el videojuego me dé miedo y me cabree y le pegue un golpe a algo o lo que sea. Me da miedo por mí mismo el... el eso, pero no me da... nada. Videojuegos de miedo, sí, mucho, demasiado."
126,"Pues no, la verdad es que del revés, me lo paso mejor. Pues porque es lo que te he dicho, que juegas con amigos y te lo pasas bien y al final pues luego piensas eso que es todo un videojuego. A veces cuando pierdo un poquillo, un poquillo, pero lo que es enfadar de ponerme a pegar y todo eso, no que va, me enfado pero no, siempre empiezo ""jo, que he perdido"" y se lo digo y le digo ""madre mía, es que este tío es muy malo, yo qué sé"" y me enfado un poco a veces con la persona contra la que he perdido, pero no empiezo a pegar puñetazos ni nada. Pues porque luego, es que, porque es como que al principio me enfado un poco pero luego ya, cuando pasa ya cinco minutos ya se te olvida, empiezas una nueva partida y ya está, no pasa nada. Pero no me enfada pues por eso, porque luego que piensas que es un videojuego y además lo hablas con tus amigos a lo mejor cuando estás superenfadado te dicen algo y te hacen un montón de risas y ya te da igual. Pues sí porque es que es lo que yo digo, cuando juegas con amigos y tú juegas en un videojuego pues puedes jugar con ellos y te diviertes y te lo pasas bien, pues sí. Pues estar entreteniéndome y pues jugar con mis amigos y hablar con ellos. Pues era como que yo estaba feliz por ganar pero ya está, feliz y ya está. Y ya no hacía más nada. Pues lo mismo, feliz pero ya está, tampoco me pongo a gritar ni nada. Feliz y ya está. A veces me enfado y ya está, me enfado un poco a veces pero no mucho. La primera vez pues la verdad es que, como que no sentí nada, fue que como lo perdí y ya está, digo ""acabo de empezar a jugar, normal, pierdo y ya está, no pasa nada"" y perdí... ya pues vale. Pues la verdad es que al principio me aburría un poco porque no sabía que... yo solo he jugado a la play, nunca he jugado ni a la switch ni nada y yo pues me aburría un poco porque al principio no tenía muchos juegos y los que tenía era para jugar con gente y pues no sabía que se podía hablar por la play y los videojuegos y pues me aburría un poco. Pero luego ya cuando me enteré de eso ya pues la verdad, pues que me lo pasé bien.  Pues un amigo que me dijo que él se iba a pedir la play, que si me la pedía yo también y jugamos juntos y pues unos Reyes pues me pedí la play, pues ya pues me puse a jugar. Pues ahora la verdad es que pues entretenimiento porque estoy con todos mis amigos, me lo paso bien y pues como que me comunico con ellos y yo que sé y podemos hablar de lo que queramos mientras jugamos y nos divertimos, nos lo pasamos bien. Pues yo creo que lo mismo, que al final te lo pasas bien cuando juegas con tus amigos y... que juegas a un juego que más o menos te divierte porque si tú juegas solo como que ya pues no es lo mismo porque juegas solo y no tienes a nadie para hablar con él y te aburres y pues yo creo que opinan lo mismo. Pues... mi padre... le cabrea, a ver, le cabrea que esté mucho pero... y mi madre también le cabrea que esté mucho, pero no... no... cuando se enfadan todo eso no es porque juegue mucho, porque yo tengo una rutina que entre semana no puedo jugar y solo puedo jugar a la play el fin de semana, entonces por lo que eso no se enfadan mucho, por lo de jugar. Porque como que no... todos los videojuegos no los paso a la vida real, no lo que veo en un videojuego no lo hago en la vida real, o sea, si yo hago un juego de yo qué sé, de que puedes hacer lo que tú quieras y puedes ir a donde tú quieras, puedes coger un coche e ir superrápido, hacer un robo en un banco por ejemplo en el GTA y todo eso pues que no... que como que no lo asimilo a la vida real, pienso que es un juego y ya está. No, no me da miedo. Pues le explicaría, depende del videojuego porque si es, por ejemplo, de fútbol como es FIFA, pues le explicaría pues que va de fútbol y que tiene una base de controles y si, por ejemplo, fuera de matar, por ejemplo, el Fortnite, pues le explicaría que es una partida con muchas personas, que tú juegas contra ellas e intentas ganar las partidas. Y un videojuego pues sería algo pues con el que te entretienes cuando, no sé, a lo mejor no tienes nada que hacer, depende del videojuego mucho, no sé."
127,"Que son muy divertidos y que se tiran mucho tiempo jugando. No tiene sentido que me ponga triste porque se supone que es para divertirse. Cuando pierdo, sí. No. Bien. Me siento bien. Pues... La verdad que no me gustó mucho porque no le vi mucho interés. Pues, es divertido, pero no siento que te aporte nada bueno. Enfadada o con ganas de apagarlo y no jugar más. Emoción por poder jugar bien. ¿Cómo? La verdad que nada, porque, como no juego... Es divertido, pero pierdo mucho tiempo en el que podría estar haciendo otras cosas. No tengo mucho interés porque... no sé, no me atrae mucho el jugar. No mucho. Que son muy adictos y que se deben jugar muy pocas veces. Lo mismo. No. No siento que me puedan hacer daño. Pues, un juego a través de alguna tecnología, de algún dispositivo conectado a alguna red, que tiene como finalidad divertirse o explorar, no sé, nuevos conceptos."
128,"Antes sí, ahora no. Pues la verdad que no lo sé. Opinan como que es un... que deja la maquinita ya y poco más.  Pues porque, no sé, ya me da un poco igual. Antes, como era más pequeño y eso, pues no. Porque se supone que estaba eso para divertirse. Nada, pues lo mismo que yo, que los jugamos para divertirnos y para echar el rato. Bueno, yo cuando juego porque me apetece, si no, no. Pues como... no sé, tampoco me importó mucho, yo siempre pienso que si pierdo es porque tengo que bajar a algo. Pues lo mismo pero un poco menos intenso. Ahora mismo me da igual, antes ya no. Pues no sé, que me divertía a través de una pantalla sin estar con alguien físicamente. Pues no sé, como motivación, alegría. Pues porque mis amigos jugaban y yo no tenía plataforma por la que jugar y me compré una Nintendo, y tenía un ordenador y empecé a jugar. Pues nada, yo juego por simple diversión o porque... pues no sé, porque me aburro y por lo mejor no tengo nada que hacer un viernes o un sábado, pues yo juego y me siento bien. Pues no sé, eso es otra manera de... pues no sé, no me da miedo. Un videojuego es un videojuego, no sé. No. No. Pues no sé, le explicaría que es una forma de divertirse a través de una tele, una consola o algo. Pues... pues no sé, estar con mis amigos de otra forma."
129,"No, es algo que... sin más, depende también del tema del que trate el videojuego supongo. Pues empezaría explicándole un poco como van los ordenadores y todo esto y luego le explicaría que es como un juego de mesa pero en una pantalla, por así decirlo. Porque no es algo que me interese mucho la verdad. Me sigue molestando igual, pero sí es verdad que no es el mismo enfado de cuando era pequeña. Hoy en día no mucho la verdad, es algo que no cambia nada en mí. Es la misma adrenalina, eso sí es verdad que no ha cambiado. Me dio mucha rabia porque soy una persona muy competitiva y me enfadé bastante. Por ejemplo en el juego The Last of Us pues me pone muy triste la historia, pero nada en sí. Depende de la historia del videojuego, por así decirlo. Porque no veo algo, no lo veo como algo que pueda ser dañino para mí y no veo el por qué hay que temerle, la verdad. La verdad que ahora no suelo jugar a ningún videojuego porque lo dejé, tampoco fue algo que me enganchó y es que no lo utilizo la verdad. La verdad que sentí mucha adrenalina por el haber ganado, pero casi, yo que sé, sin nada, la verdad. Me impactó pero y me agobió un poco porque no sabía muy bien como era la cosa, pero una vez le cogí el tranquillo me gustó mucho la verdad. A los ocho, nueve años... Ah... A mí, más que nada, mi amiga y sobre todo mi prima mayor. Creo que no llegan a entender en sí el concepto y se piensan que es algo dañino para nosotros, pero porque no acaban de entenderlo del todo. Creo que lo ven como una manera de... de ser ellos mismos, hacer algo que le gusta a los demás, es como un hobby, algo para lo que relajarse. Como ya he dicho antes soy muy competitiva, entonces cuando no me salgo con la mía, sí me suelo enfadar."
130,"No sé. De que me distraigo... de que me distraigo. Que no les gusta porque cuando en sus tiempos no sabía lo que era una consola porque no había salido todavía. Cuando mi tito me regaló una... una play, empecé a jugar. Sí. Que les parece divertido. No sé, porque yo juego como de pistolas, de coches, de aventuras, de acción. No, porque casi nunca juego de terror. Un videojuego es... es un... es como un juego que están como... como si fuera un cuento de personajes, que tienes que hacer varias cosas que te pide el videojuego y... y no sé qué más. No, porque casi siempre suelo ganar. No. Pues no sé, la primera vez no me cabreo, pero ya cuando pierdo... como la quinta vez. Que era muy divertido. Alegría. Me siento muy bien. Ahora juego como una hora y ya está. Pues alegría, lo mismo que antes. Creo que me salí del juego porque no lo entendía muy bien."
131,"La verdad que no. Pues, porque puedo hacer amigos, puedo socializar con mis amigos y eso. Pues, porque me entretiene y puedo jugar con mis amigos y eso. No, porque si a lo mejor estoy en tiempo de estudio y eso, pues, hace que desconecte un poco. Pues, porque ya no tiene la misma emoción que antes. Ya menos que antes, pero... ya casi ninguna. Pues, la verdad que no reacciono más, sino que me da igual. Pues, nada, porque como no sabía jugar, pues... no... no me lo tomé a mal. Ya menos emoción porque ya he ganado bastantes. Pues, ya menos, ya porque juego menos a los videojuegos, pero antes sentía más emoción que ahora. Alegría. Me emocioné mucho. Emoción. Emoción, sí. Y entretenimiento. Y eso. Pues, mis padres, pues, mis padres, cuando estoy... cuando estoy aburrido o algo, pues, me dejan jugar a videojuegos y eso, porque para que no... para que no me aburra ni nada. Pues... ¿qué me hizo empezar a jugar videojuegos? Pues... la Nintendo y poco más. Pues, mis amigos, mis amigos lo mismo que yo, que sirven para entretenerse y eso. Pues, que sirve para desconectar también un poco de los estudios y eso. Pues, porque no es real, no es real, no... Es un juego. No es real. Un videojuego es un programa donde puedes socializar con más personas y... pues entretenerte y... ya está. No, la verdad que no."
132,"Pues que les gustan demasiado. Que están muy adictas a los juegos. A ver, ya me aburre. Pues que lo vi por anuncio y me creó la curiosidad de las preguntas y eso. Porque no me cabreo con esas cosas. Que es mejor jugar y relacionarse en persona que a través de las pantallas. Es... es como un... una zona envolvente donde te metes en un... como en una habitación sola a... a jugar con... no sé... a través de una pantalla. No. No. No. Porque es una cosa... es que no sé como explicarlo. Porque eso tampoco es verdad. Porque... tampoco lo veo peligroso. Me daría igual, yo creo. No sé, algo... Curiosidad e intriga. Pues ahora lo trato como un... como si fuera un libro de preguntas. Coraje. La verdad es como que un poco... ¿Qué le digo yo? Me siento igual, me siento orgullosa de haber sabido la pregunta. Feliz y orgullosa de que... de que adivinase esa pregunta. Porque yo encima de jugar juegos de mesa y juntarme con personas."
133,"Igual. Me da coraje, pero nada más. Pues que me lo paso bien con mi amigo, cuando hablo con él y demás. Sí. A veces cuando pierdo, a lo mejor alguna vez sí, pero raramente. Porque me lo paso bien cuando hablo con mi amigo y demás. Pues, por ejemplo, cuando juego al FIFA y me marcan en el último segundo. Eso da un poquillo de coraje. No. Pues... algo de frustración, pero nada más. Alegría, pero tampoco fue gran cosa. Pues que es otra partida más. Nada. Pues me entretengo y además juego con mis amigos y demás. Hablo con ellos. Que... que es algo normal y que es lo que jugamos hoy en día. Pues... entretenimiento. Mis primos que tenían la play y para mi comunión me la regalaron y es lo que estaba de moda. Pues que es algo normal, pero que estamos muy enganchados. Porque lo veo como algo normal. No es nada chano. No. Pues es un juego con el que tú te puedes entretener. Si no sabes que hacer cuando tú estás aburrido o demás."
134,"Pues básicamente pues mi padre piensa de que él no sabe jugar, que no sé qué, que no sé jugar con el mando y que está súper chulo para él los juegos de miedo y más cosas que él conoce. Y mi madre dice que no sabe jugar, que por eso no le gusta. Pero a mi hermano sí y a mi primo también, pero a mi abuela no sé porque ella nunca ha visto un videojuego, solo del móvil. Pues porque puedes ganar cosas, puedes ganar diamantes, puedes ganar un montón de cosas sin que te salga lo que tú quieras. Sí, algunas veces cuando no gano y... y cuando no consigo una cosa que es como pues... es que hay un juego, ves que gira una ruleta y luego tú quieres que te toque algo y al final no te sale, pero al final te acabas calmando. Pues es un videojuego, es una realidad virtual en la que tú puedes hablar con personas y puedes jugar tú mismo o con amigos y varias personas. Bueno, dije que ""bueno, no pasa nada, a la siguiente y a la siguiente otra vez y otra vez hasta que luego lo conseguí"". Buah, me puse super feliz, puse a gritar de que gané y no sé qué, ¿sabes? Y se lo conté a todo el mundo básicamente, a mi familia. Pues lo básico, diversión y creo que ya está. Diversión y entretenimiento. Pues a veces me pongo un poco mal, pero ya no mucho porque ya casi no juego, pero bien, más o menos. No mucho. Pues lo mismo, básicamente, pero ahora lo hago con más entusiasmo porque ya no gano tantas partidas que antes. Pues realmente no lo sé, o sea, hay unas escenas tristes que ahí sí digo ""¡buah, no puede ser! ¡Madre mía!"" pero no llego a llorar. Porque sé que es algo virtual y no algo real. No, o sea básicamente puedo jugar un juego de terror que no me da mucho miedo y luego hay veces que grito porque me da miedo a veces y luego hay otros que así más o menos.  No, al contrario, me pone feliz, me pone alegre porque desconecto de un momento de la vida real y luego me vuelvo a conectar. Porque cuando terminas un juego te aburres, no sabes lo que hacer y luego empiezas uno y puede ser que no te guste o no, o sí. Pues viéndolo jugar a gente jugando. Pues ver a gente jugándolo como los youtubers o por mi primo también. Pues que están muy chulos, de que deberíamos probarlos, de que... de que deberíamos de verlos, que hay series también sobre los juegos y que piensan que está súper chulo. Pues básicamente me sentí como desconcertada porque algunos juegos que yo he jugado parecían como de verdad, realistas y otros no tanto, pero me gustó la experiencia."
